scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
ycsb-b,read,10,read.path_resolution,19,4560.145,4749.358,5208.769,5236.139
ycsb-b,update,10,auth.kdf_identity,1,178.855,178.855,178.855,178.855
ycsb-b,update,10,commit.checkpoint_create_journal,1,2.393,2.393,2.393,2.393
ycsb-b,update,10,commit.checkpoint_publish_w2,1,2316.984,2316.984,2316.984,2316.984
ycsb-b,update,10,commit.cloud_head_recheck,1,443.798,443.798,443.798,443.798
ycsb-b,update,10,commit.dropbox_cas,1,2000.692,2000.692,2000.692,2000.692
ycsb-b,update,10,commit.dropbox_readback,1,1447.967,1447.967,1447.967,1447.967
ycsb-b,update,10,commit.local_finalize,1,4.76,4.76,4.76,4.76
ycsb-b,update,10,preflight.checkpoint_evaluation,1,1.873,1.873,1.873,1.873
ycsb-b,update,10,preflight.cloud_head_fetch,1,2414.847,2414.847,2414.847,2414.847
ycsb-b,update,10,preflight.outbox_replay,1,0.45,0.45,0.45,0.45
ycsb-b,update,10,preflight.relay_fetch_r2,1,6805.869,6805.869,6805.869,6805.869
ycsb-b,update,10,write.cas_checkpoint_finalize,1,11605.94,11605.94,11605.94,11605.94
ycsb-b,update,10,write.head_journal,1,3.02,3.02,3.02,3.02
ycsb-b,update,10,write.object_prepare_upload,1,7525.391,7525.391,7525.391,7525.391
ycsb-b,update,10,write.preflight,1,3851.889,3851.889,3851.889,3851.889
ycsb-c,read,10,auth.kdf_identity,20,191.36,193.185,198.296,199.791
ycsb-c,read,10,preflight.checkpoint_evaluation,20,0.742,0.749,0.795,0.838
ycsb-c,read,10,preflight.cloud_head_fetch,20,541.414,517.023,669.617,693.827
ycsb-c,read,10,preflight.outbox_replay,20,0.073,0.073,0.079,0.083
ycsb-c,read,10,preflight.relay_fetch_r2,20,2496.635,2386.574,2845.034,4096.607
ycsb-c,read,10,preflight.total,20,3044.735,2894.591,3348.307,4736.613
ycsb-c,read,10,read.blob_decrypt_verify,20,0.209,0.197,0.294,0.402
ycsb-c,read,10,read.blob_fetch,20,746.29,671.66,1025.011,1663.553
ycsb-c,read,10,read.path_resolution,20,4410.492,4595.64,4949.306,5007.325
