scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-10,cat,10,1,1,8427.534,8427.534,8427.534,8427.534,8427.534,8427.534
scale-10,deep-scan,10,1,1,20180.124,20180.124,20180.124,20180.124,20180.124,20180.124
scale-10,init,10,1,1,17749.425,17749.425,17749.425,17749.425,17749.425,17749.425
scale-10,list,10,1,1,6657.322,6657.322,6657.322,6657.322,6657.322,6657.322
scale-10,quick-scan,10,1,1,11238.538,11238.538,11238.538,11238.538,11238.538,11238.538
scale-10,status,10,1,1,4442.83,4442.83,4442.83,4442.83,4442.83,4442.83
scale-10,tree,10,1,1,9721.275,9721.275,9721.275,9721.275,9721.275,9721.275
