scenario,operation,dataset_files,sequence,phase,phase_ms
ycsb-c,read,10,15,preflight.outbox_replay,0.077
ycsb-c,read,10,15,preflight.relay_fetch_r2,2253.771
ycsb-c,read,10,15,preflight.total,2786.977
ycsb-c,read,10,15,read.blob_decrypt_verify,0.429
ycsb-c,read,10,15,read.blob_fetch,684.016
ycsb-c,read,10,15,read.path_resolution,4593.875
ycsb-c,read,10,16,auth.kdf_identity,186.212
ycsb-c,read,10,16,preflight.checkpoint_evaluation,0.792
ycsb-c,read,10,16,preflight.cloud_head_fetch,641.625
ycsb-c,read,10,16,preflight.outbox_replay,0.068
ycsb-c,read,10,16,preflight.relay_fetch_r2,2486.632
ycsb-c,read,10,16,preflight.total,3135.336
ycsb-c,read,10,16,read.blob_decrypt_verify,0.241
ycsb-c,read,10,16,read.blob_fetch,659.304
ycsb-c,read,10,16,read.path_resolution,3664.038
ycsb-c,read,10,17,auth.kdf_identity,194.945
ycsb-c,read,10,17,preflight.checkpoint_evaluation,0.736
ycsb-c,read,10,17,preflight.cloud_head_fetch,461.874
ycsb-c,read,10,17,preflight.outbox_replay,0.07
ycsb-c,read,10,17,preflight.relay_fetch_r2,2402.518
ycsb-c,read,10,17,preflight.total,2870.717
ycsb-c,read,10,17,read.blob_decrypt_verify,0.16
ycsb-c,read,10,17,read.blob_fetch,630.885
ycsb-c,read,10,17,read.path_resolution,4691.389
ycsb-c,read,10,18,auth.kdf_identity,197.911
ycsb-c,read,10,18,preflight.checkpoint_evaluation,0.849
ycsb-c,read,10,18,preflight.cloud_head_fetch,484.019
ycsb-c,read,10,18,preflight.outbox_replay,0.072
ycsb-c,read,10,18,preflight.relay_fetch_r2,2250.134
ycsb-c,read,10,18,preflight.total,2740.706
ycsb-c,read,10,18,read.blob_decrypt_verify,0.184
ycsb-c,read,10,18,read.blob_fetch,718.533
ycsb-c,read,10,18,read.path_resolution,4945.489
ycsb-c,read,10,19,auth.kdf_identity,200.165
ycsb-c,read,10,19,preflight.checkpoint_evaluation,0.754
ycsb-c,read,10,19,preflight.cloud_head_fetch,442.704
ycsb-c,read,10,19,preflight.outbox_replay,0.071
ycsb-c,read,10,19,preflight.relay_fetch_r2,2314.019
ycsb-c,read,10,19,preflight.total,2762.882
ycsb-c,read,10,19,read.blob_decrypt_verify,0.287
ycsb-c,read,10,19,read.blob_fetch,1823.189
ycsb-c,read,10,19,read.path_resolution,3887.587
ycsb-c,read,10,20,auth.kdf_identity,198.198
ycsb-c,read,10,20,preflight.checkpoint_evaluation,0.775
ycsb-c,read,10,20,preflight.cloud_head_fetch,524.282
ycsb-c,read,10,20,preflight.outbox_replay,0.069
ycsb-c,read,10,20,preflight.relay_fetch_r2,2311.888
ycsb-c,read,10,20,preflight.total,2842.363
ycsb-c,read,10,20,read.blob_decrypt_verify,0.091
ycsb-c,read,10,20,read.blob_fetch,612.632
ycsb-c,read,10,20,read.path_resolution,4648.493
ycsb-c,read,10,21,auth.kdf_identity,177.024
ycsb-c,read,10,21,preflight.checkpoint_evaluation,0.684
ycsb-c,read,10,21,preflight.cloud_head_fetch,469.033
ycsb-c,read,10,21,preflight.outbox_replay,0.069
ycsb-c,read,10,21,preflight.relay_fetch_r2,2370.63
ycsb-c,read,10,21,preflight.total,2846.135
ycsb-c,read,10,21,read.blob_decrypt_verify,0.176
ycsb-c,read,10,21,read.blob_fetch,622.217
ycsb-c,read,10,21,read.path_resolution,4590.793
ycsb-c,read,10,22,auth.kdf_identity,185.499
ycsb-c,read,10,22,preflight.checkpoint_evaluation,0.763
ycsb-c,read,10,22,preflight.cloud_head_fetch,699.879
ycsb-c,read,10,22,preflight.outbox_replay,0.078
ycsb-c,read,10,22,preflight.relay_fetch_r2,2460.385
ycsb-c,read,10,22,preflight.total,3166.923
ycsb-c,read,10,22,read.blob_decrypt_verify,0.234
ycsb-c,read,10,22,read.blob_fetch,631.969
ycsb-c,read,10,22,read.path_resolution,4597.406
ycsb-c,read,10,23,auth.kdf_identity,190.993
ycsb-c,read,10,23,preflight.checkpoint_evaluation,0.764
ycsb-c,read,10,23,preflight.cloud_head_fetch,599.705
ycsb-c,read,10,23,preflight.outbox_replay,0.076
ycsb-c,read,10,23,preflight.relay_fetch_r2,2599.55
ycsb-c,read,10,23,preflight.total,3205.905
ycsb-c,read,10,23,read.blob_decrypt_verify,0.185
ycsb-c,read,10,23,read.blob_fetch,613.23
ycsb-c,read,10,23,read.path_resolution,4764.171
ycsb-c,read,10,24,auth.kdf_identity,182.364
ycsb-c,read,10,24,preflight.checkpoint_evaluation,0.728
ycsb-c,read,10,24,preflight.cloud_head_fetch,668.024
ycsb-c,read,10,24,preflight.outbox_replay,0.074
ycsb-c,read,10,24,preflight.relay_fetch_r2,2225.443
ycsb-c,read,10,24,preflight.total,2899.745
ycsb-c,read,10,24,read.blob_decrypt_verify,0.184
ycsb-c,read,10,24,read.blob_fetch,613.963
ycsb-c,read,10,24,read.path_resolution,3829.957
