workload,dataset_files,operations,reads,updates,successes,failures,elapsed_ms,attempted_ops_per_sec,goodput_ops_per_sec,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
ycsb-c,10,20,20,0,20,0,196648.964,0.101704,0.101704,9831.598,9924.97,10312.75,11798.132,8735.459,12169.477
ycsb-b,10,20,19,1,20,0,217220.263,0.092072,0.092072,10860.046,9894.835,13229.209,22751.062,9085.13,25131.525
ycsb-a,10,20,10,10,20,0,348256.902,0.057429,0.057429,17411.672,17752.338,25773.488,26079.06,8751.202,26155.453
