scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-20,cat,20,1,1,9458.557,9458.557,9458.557,9458.557,9458.557,9458.557
scale-20,deep-scan,20,1,1,32664.72,32664.72,32664.72,32664.72,32664.72,32664.72
scale-20,init,20,1,1,26818.021,26818.021,26818.021,26818.021,26818.021,26818.021
scale-20,list,20,1,1,7327.606,7327.606,7327.606,7327.606,7327.606,7327.606
scale-20,quick-scan,20,1,1,15964.158,15964.158,15964.158,15964.158,15964.158,15964.158
scale-20,status,20,1,1,4565.342,4565.342,4565.342,4565.342,4565.342,4565.342
scale-20,tree,20,1,1,11165.265,11165.265,11165.265,11165.265,11165.265,11165.265
