scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-10,cat,10,1,1,10726.857,10726.857,10726.857,10726.857,10726.857,10726.857
scale-10,deep-scan,10,1,1,31076.269,31076.269,31076.269,31076.269,31076.269,31076.269
scale-10,init,10,1,1,19250.785,19250.785,19250.785,19250.785,19250.785,19250.785
scale-10,list,10,1,1,7768.291,7768.291,7768.291,7768.291,7768.291,7768.291
scale-10,quick-scan,10,1,1,12409.706,12409.706,12409.706,12409.706,12409.706,12409.706
scale-10,status,10,1,1,4537.172,4537.172,4537.172,4537.172,4537.172,4537.172
scale-10,tree,10,1,1,10231.826,10231.826,10231.826,10231.826,10231.826,10231.826
