scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-10,cat,10,1,1,11019.62,11019.62,11019.62,11019.62,11019.62,11019.62
scale-10,deep-scan,10,1,1,22615.413,22615.413,22615.413,22615.413,22615.413,22615.413
scale-10,init,10,1,1,17556.084,17556.084,17556.084,17556.084,17556.084,17556.084
scale-10,list,10,1,1,7468.832,7468.832,7468.832,7468.832,7468.832,7468.832
scale-10,quick-scan,10,1,1,12065.426,12065.426,12065.426,12065.426,12065.426,12065.426
scale-10,status,10,1,1,4129.248,4129.248,4129.248,4129.248,4129.248,4129.248
scale-10,tree,10,1,1,10158.493,10158.493,10158.493,10158.493,10158.493,10158.493
