scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-10,status,10,preflight.checkpoint_evaluation,1,0.763,0.763,0.763,0.763
scale-10,status,10,preflight.cloud_head_fetch,1,455.596,455.596,455.596,455.596
scale-10,status,10,preflight.outbox_replay,1,0.103,0.103,0.103,0.103
scale-10,status,10,preflight.relay_fetch_r2,1,2507.749,2507.749,2507.749,2507.749
scale-10,status,10,preflight.total,1,2969.693,2969.693,2969.693,2969.693
scale-10,tree,10,auth.kdf_identity,1,180.118,180.118,180.118,180.118
scale-10,tree,10,preflight.checkpoint_evaluation,1,0.616,0.616,0.616,0.616
scale-10,tree,10,preflight.cloud_head_fetch,1,599.372,599.372,599.372,599.372
scale-10,tree,10,preflight.outbox_replay,1,0.08,0.08,0.08,0.08
scale-10,tree,10,preflight.relay_fetch_r2,1,2649.168,2649.168,2649.168,2649.168
scale-10,tree,10,preflight.total,1,3255.309,3255.309,3255.309,3255.309
scale-2,cat,2,auth.kdf_identity,1,213.752,213.752,213.752,213.752
scale-2,cat,2,preflight.checkpoint_evaluation,1,0.867,0.867,0.867,0.867
scale-2,cat,2,preflight.cloud_head_fetch,1,584.323,584.323,584.323,584.323
scale-2,cat,2,preflight.outbox_replay,1,0.067,0.067,0.067,0.067
scale-2,cat,2,preflight.relay_fetch_r2,1,2361.608,2361.608,2361.608,2361.608
scale-2,cat,2,preflight.total,1,2952.982,2952.982,2952.982,2952.982
scale-2,cat,2,read.blob_decrypt_verify,1,0.207,0.207,0.207,0.207
scale-2,cat,2,read.blob_fetch,1,624.616,624.616,624.616,624.616
scale-2,cat,2,read.path_resolution,1,3757.28,3757.28,3757.28,3757.28
scale-2,deep-scan,2,auth.kdf_identity,1,194.476,194.476,194.476,194.476
scale-2,deep-scan,2,preflight.checkpoint_evaluation,1,0.754,0.754,0.754,0.754
scale-2,deep-scan,2,preflight.cloud_head_fetch,1,504.922,504.922,504.922,504.922
scale-2,deep-scan,2,preflight.outbox_replay,1,0.069,0.069,0.069,0.069
scale-2,deep-scan,2,preflight.relay_fetch_r2,1,2665.516,2665.516,2665.516,2665.516
scale-2,deep-scan,2,preflight.total,1,3177.537,3177.537,3177.537,3177.537
scale-2,init,2,auth.kdf_identity,1,1358.518,1358.518,1358.518,1358.518
scale-2,init,2,init.checkpoint_publish_w2,1,2272.328,2272.328,2272.328,2272.328
scale-2,init,2,init.cloud_head_fetch,1,481.313,481.313,481.313,481.313
scale-2,init,2,init.genesis_publish_w2,1,2437.064,2437.064,2437.064,2437.064
scale-2,list,2,auth.kdf_identity,1,200.921,200.921,200.921,200.921
scale-2,list,2,preflight.checkpoint_evaluation,1,0.681,0.681,0.681,0.681
scale-2,list,2,preflight.cloud_head_fetch,1,535.668,535.668,535.668,535.668
scale-2,list,2,preflight.outbox_replay,1,0.065,0.065,0.065,0.065
scale-2,list,2,preflight.relay_fetch_r2,1,2465.519,2465.519,2465.519,2465.519
scale-2,list,2,preflight.total,1,3008.199,3008.199,3008.199,3008.199
scale-2,quick-scan,2,auth.kdf_identity,1,178.589,178.589,178.589,178.589
scale-2,quick-scan,2,preflight.checkpoint_evaluation,1,0.741,0.741,0.741,0.741
scale-2,quick-scan,2,preflight.cloud_head_fetch,1,538.071,538.071,538.071,538.071
scale-2,quick-scan,2,preflight.outbox_replay,1,0.125,0.125,0.125,0.125
scale-2,quick-scan,2,preflight.relay_fetch_r2,1,2359.244,2359.244,2359.244,2359.244
scale-2,quick-scan,2,preflight.total,1,2904.839,2904.839,2904.839,2904.839
scale-2,status,2,auth.kdf_identity,1,178.816,178.816,178.816,178.816
scale-2,status,2,preflight.checkpoint_evaluation,1,0.822,0.822,0.822,0.822
scale-2,status,2,preflight.cloud_head_fetch,1,476.159,476.159,476.159,476.159
scale-2,status,2,preflight.outbox_replay,1,0.065,0.065,0.065,0.065
scale-2,status,2,preflight.relay_fetch_r2,1,2458.223,2458.223,2458.223,2458.223
scale-2,status,2,preflight.total,1,2941.709,2941.709,2941.709,2941.709
scale-2,tree,2,auth.kdf_identity,1,185.649,185.649,185.649,185.649
scale-2,tree,2,preflight.checkpoint_evaluation,1,0.865,0.865,0.865,0.865
scale-2,tree,2,preflight.cloud_head_fetch,1,592.087,592.087,592.087,592.087
scale-2,tree,2,preflight.outbox_replay,1,0.075,0.075,0.075,0.075
scale-2,tree,2,preflight.relay_fetch_r2,1,2425.05,2425.05,2425.05,2425.05
scale-2,tree,2,preflight.total,1,3024.257,3024.257,3024.257,3024.257
scale-5,cat,5,auth.kdf_identity,1,214.35,214.35,214.35,214.35
scale-5,cat,5,preflight.checkpoint_evaluation,1,0.711,0.711,0.711,0.711
scale-5,cat,5,preflight.cloud_head_fetch,1,536.133,536.133,536.133,536.133
scale-5,cat,5,preflight.outbox_replay,1,0.068,0.068,0.068,0.068
scale-5,cat,5,preflight.relay_fetch_r2,1,2708.88,2708.88,2708.88,2708.88
scale-5,cat,5,preflight.total,1,3252.475,3252.475,3252.475,3252.475
scale-5,cat,5,read.blob_decrypt_verify,1,0.621,0.621,0.621,0.621
scale-5,cat,5,read.blob_fetch,1,1655.324,1655.324,1655.324,1655.324
scale-5,cat,5,read.path_resolution,1,3574.985,3574.985,3574.985,3574.985
scale-5,deep-scan,5,auth.kdf_identity,1,195.552,195.552,195.552,195.552
scale-5,deep-scan,5,preflight.checkpoint_evaluation,1,0.728,0.728,0.728,0.728
scale-5,deep-scan,5,preflight.cloud_head_fetch,1,589.722,589.722,589.722,589.722
scale-5,deep-scan,5,preflight.outbox_replay,1,0.073,0.073,0.073,0.073
scale-5,deep-scan,5,preflight.relay_fetch_r2,1,2302.092,2302.092,2302.092,2302.092
scale-5,deep-scan,5,preflight.total,1,2897.967,2897.967,2897.967,2897.967
scale-5,init,5,auth.kdf_identity,1,1315.468,1315.468,1315.468,1315.468
scale-5,init,5,init.checkpoint_publish_w2,1,5175.367,5175.367,5175.367,5175.367
scale-5,init,5,init.cloud_head_fetch,1,577.936,577.936,577.936,577.936
scale-5,init,5,init.genesis_publish_w2,1,2447.351,2447.351,2447.351,2447.351
scale-5,list,5,auth.kdf_identity,1,197.08,197.08,197.08,197.08
scale-5,list,5,preflight.checkpoint_evaluation,1,0.751,0.751,0.751,0.751
scale-5,list,5,preflight.cloud_head_fetch,1,567.805,567.805,567.805,567.805
scale-5,list,5,preflight.outbox_replay,1,0.075,0.075,0.075,0.075
scale-5,list,5,preflight.relay_fetch_r2,1,2362.055,2362.055,2362.055,2362.055
scale-5,list,5,preflight.total,1,2936.291,2936.291,2936.291,2936.291
scale-5,quick-scan,5,auth.kdf_identity,1,189.738,189.738,189.738,189.738
scale-5,quick-scan,5,preflight.checkpoint_evaluation,1,0.472,0.472,0.472,0.472
scale-5,quick-scan,5,preflight.cloud_head_fetch,1,525.641,525.641,525.641,525.641
scale-5,quick-scan,5,preflight.outbox_replay,1,0.099,0.099,0.099,0.099
scale-5,quick-scan,5,preflight.relay_fetch_r2,1,2374.626,2374.626,2374.626,2374.626
scale-5,quick-scan,5,preflight.total,1,2907.556,2907.556,2907.556,2907.556
scale-5,status,5,auth.kdf_identity,1,187.59,187.59,187.59,187.59
scale-5,status,5,preflight.checkpoint_evaluation,1,0.71,0.71,0.71,0.71
scale-5,status,5,preflight.cloud_head_fetch,1,508.653,508.653,508.653,508.653
scale-5,status,5,preflight.outbox_replay,1,0.074,0.074,0.074,0.074
scale-5,status,5,preflight.relay_fetch_r2,1,2519.965,2519.965,2519.965,2519.965
scale-5,status,5,preflight.total,1,3036.312,3036.312,3036.312,3036.312
scale-5,tree,5,auth.kdf_identity,1,184.409,184.409,184.409,184.409
scale-5,tree,5,preflight.checkpoint_evaluation,1,0.698,0.698,0.698,0.698
scale-5,tree,5,preflight.cloud_head_fetch,1,541.512,541.512,541.512,541.512
scale-5,tree,5,preflight.outbox_replay,1,0.075,0.075,0.075,0.075
scale-5,tree,5,preflight.relay_fetch_r2,1,2334.701,2334.701,2334.701,2334.701
scale-5,tree,5,preflight.total,1,2883.493,2883.493,2883.493,2883.493
