scenario,operation,dataset_files,sequence,phase,phase_ms
scale-5,cat-sample-1,5,19,preflight.checkpoint_evaluation,0.711
scale-5,cat-sample-1,5,19,preflight.cloud_head_fetch,536.133
scale-5,cat-sample-1,5,19,preflight.outbox_replay,0.068
scale-5,cat-sample-1,5,19,preflight.relay_fetch_r2,2708.88
scale-5,cat-sample-1,5,19,preflight.total,3252.475
scale-5,cat-sample-1,5,19,read.blob_decrypt_verify,0.621
scale-5,cat-sample-1,5,19,read.blob_fetch,1655.324
scale-5,cat-sample-1,5,19,read.path_resolution,3574.985
scale-5,quick-scan,5,20,auth.kdf_identity,189.738
scale-5,quick-scan,5,20,preflight.checkpoint_evaluation,0.472
scale-5,quick-scan,5,20,preflight.cloud_head_fetch,525.641
scale-5,quick-scan,5,20,preflight.outbox_replay,0.099
scale-5,quick-scan,5,20,preflight.relay_fetch_r2,2374.626
scale-5,quick-scan,5,20,preflight.total,2907.556
scale-5,deep-scan,5,21,auth.kdf_identity,195.552
scale-5,deep-scan,5,21,preflight.checkpoint_evaluation,0.728
scale-5,deep-scan,5,21,preflight.cloud_head_fetch,589.722
scale-5,deep-scan,5,21,preflight.outbox_replay,0.073
scale-5,deep-scan,5,21,preflight.relay_fetch_r2,2302.092
scale-5,deep-scan,5,21,preflight.total,2897.967
scale-10,init,10,22,auth.kdf_identity,1178.44
scale-10,init,10,22,init.checkpoint_publish_w2,2294.581
scale-10,init,10,22,init.cloud_head_fetch,692.634
scale-10,init,10,22,init.genesis_publish_w2,2132.035
scale-10,status,10,23,auth.kdf_identity,200.1
scale-10,status,10,23,preflight.checkpoint_evaluation,0.763
scale-10,status,10,23,preflight.cloud_head_fetch,455.596
scale-10,status,10,23,preflight.outbox_replay,0.103
scale-10,status,10,23,preflight.relay_fetch_r2,2507.749
scale-10,status,10,23,preflight.total,2969.693
scale-10,list,10,24,auth.kdf_identity,198.465
scale-10,list,10,24,preflight.checkpoint_evaluation,0.75
scale-10,list,10,24,preflight.cloud_head_fetch,450.118
scale-10,list,10,24,preflight.outbox_replay,0.082
scale-10,list,10,24,preflight.relay_fetch_r2,2588.647
scale-10,list,10,24,preflight.total,3045.329
scale-10,tree,10,25,auth.kdf_identity,180.118
scale-10,tree,10,25,preflight.checkpoint_evaluation,0.616
scale-10,tree,10,25,preflight.cloud_head_fetch,599.372
scale-10,tree,10,25,preflight.outbox_replay,0.08
scale-10,tree,10,25,preflight.relay_fetch_r2,2649.168
scale-10,tree,10,25,preflight.total,3255.309
scale-10,cat-sample-1,10,26,auth.kdf_identity,200.749
scale-10,cat-sample-1,10,26,preflight.checkpoint_evaluation,0.684
scale-10,cat-sample-1,10,26,preflight.cloud_head_fetch,545.924
scale-10,cat-sample-1,10,26,preflight.outbox_replay,0.086
scale-10,cat-sample-1,10,26,preflight.relay_fetch_r2,2354.386
scale-10,cat-sample-1,10,26,preflight.total,2906.935
scale-10,cat-sample-1,10,26,read.blob_decrypt_verify,0.185
scale-10,cat-sample-1,10,26,read.blob_fetch,691.717
scale-10,cat-sample-1,10,26,read.path_resolution,4939.673
scale-10,quick-scan,10,27,auth.kdf_identity,178.522
scale-10,quick-scan,10,27,preflight.checkpoint_evaluation,0.726
scale-10,quick-scan,10,27,preflight.cloud_head_fetch,550.908
scale-10,quick-scan,10,27,preflight.outbox_replay,0.072
scale-10,quick-scan,10,27,preflight.relay_fetch_r2,5255.306
scale-10,quick-scan,10,27,preflight.total,5812.367
scale-10,deep-scan,10,28,auth.kdf_identity,190.9
scale-10,deep-scan,10,28,preflight.checkpoint_evaluation,0.774
scale-10,deep-scan,10,28,preflight.cloud_head_fetch,577.402
scale-10,deep-scan,10,28,preflight.outbox_replay,0.073
scale-10,deep-scan,10,28,preflight.relay_fetch_r2,2383.536
scale-10,deep-scan,10,28,preflight.total,2968.431
