scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-20,cat,20,1,1,12130.32,12130.32,12130.32,12130.32,12130.32,12130.32
scale-20,deep-scan,20,1,1,28930.812,28930.812,28930.812,28930.812,28930.812,28930.812
scale-20,init,20,1,1,23384.579,23384.579,23384.579,23384.579,23384.579,23384.579
scale-20,list,20,1,1,6208.89,6208.89,6208.89,6208.89,6208.89,6208.89
scale-20,quick-scan,20,1,1,16730.717,16730.717,16730.717,16730.717,16730.717,16730.717
scale-20,status,20,1,1,4645.878,4645.878,4645.878,4645.878,4645.878,4645.878
scale-20,tree,20,1,1,10610.953,10610.953,10610.953,10610.953,10610.953,10610.953
