workload,dataset_files,operations,reads,updates,successes,failures,elapsed_ms,attempted_ops_per_sec,goodput_ops_per_sec,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
ycsb-c,10,20,20,0,20,0,206523.926,0.096841,0.096841,10325.266,9944.183,12758.011,14223.861,9074.257,14590.324
ycsb-b,10,20,19,1,20,0,215209.887,0.092933,0.092933,10759.537,9955.907,12778.385,24145.849,9082.573,26987.715
ycsb-a,10,20,10,10,20,0,362545.984,0.055165,0.055165,18126.157,18567.495,26409.695,27150.874,8632.673,27336.169
