scenario,operation,dataset_files,sequence,phase,phase_ms
ycsb-c,read,10,15,preflight.outbox_replay,0.069
ycsb-c,read,10,15,preflight.relay_fetch_r2,2339.301
ycsb-c,read,10,15,preflight.total,2804.552
ycsb-c,read,10,15,read.blob_decrypt_verify,0.184
ycsb-c,read,10,15,read.blob_fetch,674.977
ycsb-c,read,10,15,read.path_resolution,5163.236
ycsb-c,read,10,16,auth.kdf_identity,177.337
ycsb-c,read,10,16,preflight.checkpoint_evaluation,0.627
ycsb-c,read,10,16,preflight.cloud_head_fetch,627.12
ycsb-c,read,10,16,preflight.outbox_replay,0.079
ycsb-c,read,10,16,preflight.relay_fetch_r2,2565.979
ycsb-c,read,10,16,preflight.total,3199.222
ycsb-c,read,10,16,read.blob_decrypt_verify,0.21
ycsb-c,read,10,16,read.blob_fetch,671.585
ycsb-c,read,10,16,read.path_resolution,4937.672
ycsb-c,read,10,17,auth.kdf_identity,183.648
ycsb-c,read,10,17,preflight.checkpoint_evaluation,0.729
ycsb-c,read,10,17,preflight.cloud_head_fetch,448.431
ycsb-c,read,10,17,preflight.outbox_replay,0.071
ycsb-c,read,10,17,preflight.relay_fetch_r2,2519.783
ycsb-c,read,10,17,preflight.total,2974.795
ycsb-c,read,10,17,read.blob_decrypt_verify,0.19
ycsb-c,read,10,17,read.blob_fetch,627.946
ycsb-c,read,10,17,read.path_resolution,4989.566
ycsb-c,read,10,18,auth.kdf_identity,185.764
ycsb-c,read,10,18,preflight.checkpoint_evaluation,0.729
ycsb-c,read,10,18,preflight.cloud_head_fetch,1896.744
ycsb-c,read,10,18,preflight.outbox_replay,0.064
ycsb-c,read,10,18,preflight.relay_fetch_r2,2594.076
ycsb-c,read,10,18,preflight.total,4497.538
ycsb-c,read,10,18,read.blob_decrypt_verify,0.196
ycsb-c,read,10,18,read.blob_fetch,651.317
ycsb-c,read,10,18,read.path_resolution,3789.636
ycsb-c,read,10,19,auth.kdf_identity,186.189
ycsb-c,read,10,19,preflight.checkpoint_evaluation,0.447
ycsb-c,read,10,19,preflight.cloud_head_fetch,521.569
ycsb-c,read,10,19,preflight.outbox_replay,0.071
ycsb-c,read,10,19,preflight.relay_fetch_r2,2501.416
ycsb-c,read,10,19,preflight.total,3027.608
ycsb-c,read,10,19,read.blob_decrypt_verify,0.175
ycsb-c,read,10,19,read.blob_fetch,826.518
ycsb-c,read,10,19,read.path_resolution,5225.704
ycsb-c,read,10,20,auth.kdf_identity,183.119
ycsb-c,read,10,20,preflight.checkpoint_evaluation,0.706
ycsb-c,read,10,20,preflight.cloud_head_fetch,612.089
ycsb-c,read,10,20,preflight.outbox_replay,0.074
ycsb-c,read,10,20,preflight.relay_fetch_r2,4995.902
ycsb-c,read,10,20,preflight.total,5615.229
ycsb-c,read,10,20,read.blob_decrypt_verify,0.226
ycsb-c,read,10,20,read.blob_fetch,654.352
ycsb-c,read,10,20,read.path_resolution,4845.404
ycsb-c,read,10,21,auth.kdf_identity,199.34
ycsb-c,read,10,21,preflight.checkpoint_evaluation,0.829
ycsb-c,read,10,21,preflight.cloud_head_fetch,618.317
ycsb-c,read,10,21,preflight.outbox_replay,0.07
ycsb-c,read,10,21,preflight.relay_fetch_r2,2516.243
ycsb-c,read,10,21,preflight.total,3142.15
ycsb-c,read,10,21,read.blob_decrypt_verify,0.189
ycsb-c,read,10,21,read.blob_fetch,1162.443
ycsb-c,read,10,21,read.path_resolution,4885.851
ycsb-c,read,10,22,auth.kdf_identity,198.275
ycsb-c,read,10,22,preflight.checkpoint_evaluation,0.757
ycsb-c,read,10,22,preflight.cloud_head_fetch,533.921
ycsb-c,read,10,22,preflight.outbox_replay,0.074
ycsb-c,read,10,22,preflight.relay_fetch_r2,2492.617
ycsb-c,read,10,22,preflight.total,3033.448
ycsb-c,read,10,22,read.blob_decrypt_verify,0.298
ycsb-c,read,10,22,read.blob_fetch,761.937
ycsb-c,read,10,22,read.path_resolution,3673.688
ycsb-c,read,10,23,auth.kdf_identity,186.8
ycsb-c,read,10,23,preflight.checkpoint_evaluation,0.74
ycsb-c,read,10,23,preflight.cloud_head_fetch,530.39
ycsb-c,read,10,23,preflight.outbox_replay,0.069
ycsb-c,read,10,23,preflight.relay_fetch_r2,2296.226
ycsb-c,read,10,23,preflight.total,2833.233
ycsb-c,read,10,23,read.blob_decrypt_verify,0.236
ycsb-c,read,10,23,read.blob_fetch,1756.786
ycsb-c,read,10,23,read.path_resolution,3800.079
ycsb-c,read,10,24,auth.kdf_identity,195.248
ycsb-c,read,10,24,preflight.checkpoint_evaluation,0.671
