scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
ycsb-b,read,10,read.path_resolution,19,4349.533,4515.787,4928.742,5276.521
ycsb-b,update,10,auth.kdf_identity,1,205.665,205.665,205.665,205.665
ycsb-b,update,10,commit.checkpoint_create_journal,1,2.543,2.543,2.543,2.543
ycsb-b,update,10,commit.checkpoint_publish_w2,1,2272.323,2272.323,2272.323,2272.323
ycsb-b,update,10,commit.cloud_head_recheck,1,451.769,451.769,451.769,451.769
ycsb-b,update,10,commit.dropbox_cas,1,952.14,952.14,952.14,952.14
ycsb-b,update,10,commit.dropbox_readback,1,383.508,383.508,383.508,383.508
ycsb-b,update,10,commit.local_finalize,1,1.865,1.865,1.865,1.865
ycsb-b,update,10,preflight.checkpoint_evaluation,1,2.334,2.334,2.334,2.334
ycsb-b,update,10,preflight.cloud_head_fetch,1,2481.147,2481.147,2481.147,2481.147
ycsb-b,update,10,preflight.outbox_replay,1,0.29,0.29,0.29,0.29
ycsb-b,update,10,preflight.relay_fetch_r2,1,8678.047,8678.047,8678.047,8678.047
ycsb-b,update,10,write.cas_checkpoint_finalize,1,10675.472,10675.472,10675.472,10675.472
ycsb-b,update,10,write.head_journal,1,1.732,1.732,1.732,1.732
ycsb-b,update,10,write.object_prepare_upload,1,9370.894,9370.894,9370.894,9370.894
ycsb-b,update,10,write.preflight,1,4567.482,4567.482,4567.482,4567.482
ycsb-c,read,10,auth.kdf_identity,20,188.952,186.495,201.191,201.365
ycsb-c,read,10,preflight.checkpoint_evaluation,20,0.72,0.733,0.819,0.827
ycsb-c,read,10,preflight.cloud_head_fetch,20,720.197,540.88,1612.922,1839.98
ycsb-c,read,10,preflight.outbox_replay,20,0.082,0.071,0.125,0.203
ycsb-c,read,10,preflight.relay_fetch_r2,20,2732.332,2462.961,5046.869,5821.571
ycsb-c,read,10,preflight.total,20,3459.611,3001.202,5658.797,6321.038
ycsb-c,read,10,read.blob_decrypt_verify,20,0.287,0.209,0.445,1.336
ycsb-c,read,10,read.blob_fetch,20,841.26,662.296,1695.767,1744.582
ycsb-c,read,10,read.path_resolution,20,4348.876,4355.706,5166.359,5213.835
