scenario,operation,dataset_files,file_size_bytes,sequence,total_ms,success,return_code,error_class
scale-2,init,2,8192,1,14928.243,1,0,
scale-2,status,2,8192,2,4300.436,1,0,
scale-2,list,2,8192,3,6405.058,1,0,
scale-2,tree,2,8192,4,10366.614,1,0,
scale-2,cat-sample-1,2,8192,5,23983.778,0,1,other
cleanup,destroy,0,8192,6,1281.485,1,0,
