scenario,operation,dataset_files,file_size_bytes,sequence,total_ms,success,return_code,error_class
scale-5,init,5,8192,1,8525.142,0,1,dropbox_rate_limit
cleanup,destroy,0,8192,2,1261.268,1,0,
