scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-10,cat,10,1,1,10591.533,10591.533,10591.533,10591.533,10591.533,10591.533
scale-10,deep-scan,10,1,1,27013.008,27013.008,27013.008,27013.008,27013.008,27013.008
scale-10,init,10,1,1,19350.465,19350.465,19350.465,19350.465,19350.465,19350.465
scale-10,list,10,1,1,7003.71,7003.71,7003.71,7003.71,7003.71,7003.71
scale-10,quick-scan,10,1,1,10850.252,10850.252,10850.252,10850.252,10850.252,10850.252
scale-10,status,10,1,1,5271.671,5271.671,5271.671,5271.671,5271.671,5271.671
scale-10,tree,10,1,1,9791.553,9791.553,9791.553,9791.553,9791.553,9791.553
