scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-10,cat,10,1,1,9799.484,9799.484,9799.484,9799.484,9799.484,9799.484
scale-10,deep-scan,10,1,1,19643.619,19643.619,19643.619,19643.619,19643.619,19643.619
scale-10,init,10,1,1,18613.596,18613.596,18613.596,18613.596,18613.596,18613.596
scale-10,list,10,1,1,7344.252,7344.252,7344.252,7344.252,7344.252,7344.252
scale-10,quick-scan,10,1,1,11242.197,11242.197,11242.197,11242.197,11242.197,11242.197
scale-10,status,10,1,1,4590.008,4590.008,4590.008,4590.008,4590.008,4590.008
scale-10,tree,10,1,1,9542.164,9542.164,9542.164,9542.164,9542.164,9542.164
