scenario,operation,dataset_files,file_size_bytes,sequence,total_ms,success,return_code,error_class
scale-10,init,10,8192,1,18613.596,1,0,
scale-10,status,10,8192,2,4590.008,1,0,
scale-10,list,10,8192,3,7344.252,1,0,
scale-10,tree,10,8192,4,9542.164,1,0,
scale-10,cat-sample-1,10,8192,5,9799.484,1,0,
scale-10,quick-scan,10,8192,6,11242.197,1,0,
scale-10,deep-scan,10,8192,7,19643.619,1,0,
cleanup,destroy,0,8192,8,1516.692,1,0,
