scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-1,cat,1,1,1,10284.952,10284.952,10284.952,10284.952,10284.952,10284.952
scale-1,deep-scan,1,1,1,11496.387,11496.387,11496.387,11496.387,11496.387,11496.387
scale-1,init,1,1,1,15410.245,15410.245,15410.245,15410.245,15410.245,15410.245
scale-1,list,1,1,1,6427.069,6427.069,6427.069,6427.069,6427.069,6427.069
scale-1,quick-scan,1,1,1,10336.804,10336.804,10336.804,10336.804,10336.804,10336.804
scale-1,status,1,1,1,4474.492,4474.492,4474.492,4474.492,4474.492,4474.492
scale-1,tree,1,1,1,9733.793,9733.793,9733.793,9733.793,9733.793,9733.793
