scenario,operation,dataset_files,sequence,phase,phase_ms
scale-5,cat-sample-1,5,19,preflight.checkpoint_evaluation,0.739
scale-5,cat-sample-1,5,19,preflight.cloud_head_fetch,603.29
scale-5,cat-sample-1,5,19,preflight.outbox_replay,0.074
scale-5,cat-sample-1,5,19,preflight.relay_fetch_r2,2547.191
scale-5,cat-sample-1,5,19,preflight.total,3158.019
scale-5,cat-sample-1,5,19,read.blob_decrypt_verify,0.203
scale-5,cat-sample-1,5,19,read.blob_fetch,605.483
scale-5,cat-sample-1,5,19,read.path_resolution,5235.096
scale-5,quick-scan,5,20,auth.kdf_identity,175.414
scale-5,quick-scan,5,20,preflight.checkpoint_evaluation,0.723
scale-5,quick-scan,5,20,preflight.cloud_head_fetch,593.235
scale-5,quick-scan,5,20,preflight.outbox_replay,0.067
scale-5,quick-scan,5,20,preflight.relay_fetch_r2,2475.997
scale-5,quick-scan,5,20,preflight.total,3075.876
scale-5,deep-scan,5,21,auth.kdf_identity,182.413
scale-5,deep-scan,5,21,preflight.checkpoint_evaluation,0.636
scale-5,deep-scan,5,21,preflight.cloud_head_fetch,646.626
scale-5,deep-scan,5,21,preflight.outbox_replay,0.089
scale-5,deep-scan,5,21,preflight.relay_fetch_r2,2247.789
scale-5,deep-scan,5,21,preflight.total,2900.569
scale-10,init,10,22,auth.kdf_identity,1170.877
scale-10,init,10,22,init.checkpoint_publish_w2,2405.957
scale-10,init,10,22,init.cloud_head_fetch,721.63
scale-10,init,10,22,init.genesis_publish_w2,2477.855
scale-10,status,10,23,auth.kdf_identity,196.626
scale-10,status,10,23,preflight.checkpoint_evaluation,0.726
scale-10,status,10,23,preflight.cloud_head_fetch,458.393
scale-10,status,10,23,preflight.outbox_replay,0.067
scale-10,status,10,23,preflight.relay_fetch_r2,2340.735
scale-10,status,10,23,preflight.total,2805.095
scale-10,list,10,24,auth.kdf_identity,197.368
scale-10,list,10,24,preflight.checkpoint_evaluation,0.749
scale-10,list,10,24,preflight.cloud_head_fetch,534.614
scale-10,list,10,24,preflight.outbox_replay,0.065
scale-10,list,10,24,preflight.relay_fetch_r2,2310.306
scale-10,list,10,24,preflight.total,2851.601
scale-10,tree,10,25,auth.kdf_identity,187.253
scale-10,tree,10,25,preflight.checkpoint_evaluation,0.411
scale-10,tree,10,25,preflight.cloud_head_fetch,637.16
scale-10,tree,10,25,preflight.outbox_replay,0.081
scale-10,tree,10,25,preflight.relay_fetch_r2,2339.232
scale-10,tree,10,25,preflight.total,2981.339
