scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-10,status,10,preflight.checkpoint_evaluation,1,0.726,0.726,0.726,0.726
scale-10,status,10,preflight.cloud_head_fetch,1,458.393,458.393,458.393,458.393
scale-10,status,10,preflight.outbox_replay,1,0.067,0.067,0.067,0.067
scale-10,status,10,preflight.relay_fetch_r2,1,2340.735,2340.735,2340.735,2340.735
scale-10,status,10,preflight.total,1,2805.095,2805.095,2805.095,2805.095
scale-10,tree,10,auth.kdf_identity,1,187.253,187.253,187.253,187.253
scale-10,tree,10,preflight.checkpoint_evaluation,1,0.411,0.411,0.411,0.411
scale-10,tree,10,preflight.cloud_head_fetch,1,637.16,637.16,637.16,637.16
scale-10,tree,10,preflight.outbox_replay,1,0.081,0.081,0.081,0.081
scale-10,tree,10,preflight.relay_fetch_r2,1,2339.232,2339.232,2339.232,2339.232
scale-10,tree,10,preflight.total,1,2981.339,2981.339,2981.339,2981.339
scale-2,cat,2,auth.kdf_identity,1,181.825,181.825,181.825,181.825
scale-2,cat,2,preflight.checkpoint_evaluation,1,0.484,0.484,0.484,0.484
scale-2,cat,2,preflight.cloud_head_fetch,1,527.325,527.325,527.325,527.325
scale-2,cat,2,preflight.outbox_replay,1,0.057,0.057,0.057,0.057
scale-2,cat,2,preflight.relay_fetch_r2,1,2386.475,2386.475,2386.475,2386.475
scale-2,cat,2,preflight.total,1,2918.996,2918.996,2918.996,2918.996
scale-2,cat,2,read.blob_decrypt_verify,1,0.164,0.164,0.164,0.164
scale-2,cat,2,read.blob_fetch,1,717.866,717.866,717.866,717.866
scale-2,cat,2,read.path_resolution,1,4658.39,4658.39,4658.39,4658.39
scale-2,deep-scan,2,auth.kdf_identity,1,187.249,187.249,187.249,187.249
scale-2,deep-scan,2,preflight.checkpoint_evaluation,1,0.819,0.819,0.819,0.819
scale-2,deep-scan,2,preflight.cloud_head_fetch,1,585.798,585.798,585.798,585.798
scale-2,deep-scan,2,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-2,deep-scan,2,preflight.relay_fetch_r2,1,2277.259,2277.259,2277.259,2277.259
scale-2,deep-scan,2,preflight.total,1,2869.243,2869.243,2869.243,2869.243
scale-2,init,2,auth.kdf_identity,1,1113.467,1113.467,1113.467,1113.467
scale-2,init,2,init.checkpoint_publish_w2,1,2380.877,2380.877,2380.877,2380.877
scale-2,init,2,init.cloud_head_fetch,1,768.632,768.632,768.632,768.632
scale-2,init,2,init.genesis_publish_w2,1,2331.366,2331.366,2331.366,2331.366
scale-2,list,2,auth.kdf_identity,1,184.175,184.175,184.175,184.175
scale-2,list,2,preflight.checkpoint_evaluation,1,0.709,0.709,0.709,0.709
scale-2,list,2,preflight.cloud_head_fetch,1,542.433,542.433,542.433,542.433
scale-2,list,2,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-2,list,2,preflight.relay_fetch_r2,1,2330.22,2330.22,2330.22,2330.22
scale-2,list,2,preflight.total,1,2878.789,2878.789,2878.789,2878.789
scale-2,quick-scan,2,auth.kdf_identity,1,185.797,185.797,185.797,185.797
scale-2,quick-scan,2,preflight.checkpoint_evaluation,1,0.736,0.736,0.736,0.736
scale-2,quick-scan,2,preflight.cloud_head_fetch,1,546.8,546.8,546.8,546.8
scale-2,quick-scan,2,preflight.outbox_replay,1,0.072,0.072,0.072,0.072
scale-2,quick-scan,2,preflight.relay_fetch_r2,1,2361.08,2361.08,2361.08,2361.08
scale-2,quick-scan,2,preflight.total,1,2914.325,2914.325,2914.325,2914.325
scale-2,status,2,auth.kdf_identity,1,201.698,201.698,201.698,201.698
scale-2,status,2,preflight.checkpoint_evaluation,1,0.795,0.795,0.795,0.795
scale-2,status,2,preflight.cloud_head_fetch,1,1714.627,1714.627,1714.627,1714.627
scale-2,status,2,preflight.outbox_replay,1,0.076,0.076,0.076,0.076
scale-2,status,2,preflight.relay_fetch_r2,1,3662.784,3662.784,3662.784,3662.784
scale-2,status,2,preflight.total,1,5386.849,5386.849,5386.849,5386.849
scale-2,tree,2,auth.kdf_identity,1,196.044,196.044,196.044,196.044
scale-2,tree,2,preflight.checkpoint_evaluation,1,0.714,0.714,0.714,0.714
scale-2,tree,2,preflight.cloud_head_fetch,1,467.452,467.452,467.452,467.452
scale-2,tree,2,preflight.outbox_replay,1,0.07,0.07,0.07,0.07
scale-2,tree,2,preflight.relay_fetch_r2,1,2394.017,2394.017,2394.017,2394.017
scale-2,tree,2,preflight.total,1,2870.065,2870.065,2870.065,2870.065
scale-5,cat,5,auth.kdf_identity,1,189.114,189.114,189.114,189.114
scale-5,cat,5,preflight.checkpoint_evaluation,1,0.739,0.739,0.739,0.739
scale-5,cat,5,preflight.cloud_head_fetch,1,603.29,603.29,603.29,603.29
scale-5,cat,5,preflight.outbox_replay,1,0.074,0.074,0.074,0.074
scale-5,cat,5,preflight.relay_fetch_r2,1,2547.191,2547.191,2547.191,2547.191
scale-5,cat,5,preflight.total,1,3158.019,3158.019,3158.019,3158.019
scale-5,cat,5,read.blob_decrypt_verify,1,0.203,0.203,0.203,0.203
scale-5,cat,5,read.blob_fetch,1,605.483,605.483,605.483,605.483
