operation,size_bytes,iteration,phase,phase_ms
mkdir,0,5,commit.checkpoint_publish_w2,1861.641
mkdir,0,5,commit.cloud_head_recheck,431.227
mkdir,0,5,commit.dropbox_cas,918.054
mkdir,0,5,commit.dropbox_readback,396.94
mkdir,0,5,commit.local_finalize,4.081
mkdir,0,5,preflight.checkpoint_evaluation,1.428
mkdir,0,5,preflight.cloud_head_fetch,1470.52
mkdir,0,5,preflight.outbox_replay,0.276
mkdir,0,5,preflight.relay_fetch_r2,5182.103
mkdir,0,5,write.cas_checkpoint_finalize,7979.07
mkdir,0,5,write.head_journal,1.425
mkdir,0,5,write.object_prepare_upload,5016.722
mkdir,0,5,write.preflight,2299.495
add,8192,1,auth.kdf_identity,189.049
add,8192,1,commit.checkpoint_create_journal,2.027
add,8192,1,commit.checkpoint_publish_w2,1868.69
add,8192,1,commit.cloud_head_recheck,521.379
add,8192,1,commit.dropbox_cas,956.696
add,8192,1,commit.dropbox_readback,525.574
add,8192,1,commit.local_finalize,2.951
add,8192,1,preflight.checkpoint_evaluation,0.946
add,8192,1,preflight.cloud_head_fetch,2553.299
add,8192,1,preflight.outbox_replay,0.351
add,8192,1,preflight.relay_fetch_r2,5250.422
add,8192,1,write.cas_checkpoint_finalize,8299.764
add,8192,1,write.head_journal,1.609
add,8192,1,write.object_prepare_upload,3779.224
add,8192,1,write.preflight,3392.577
cat,8192,1,auth.kdf_identity,175.659
cat,8192,1,preflight.checkpoint_evaluation,0.304
cat,8192,1,preflight.cloud_head_fetch,589.921
cat,8192,1,preflight.outbox_replay,0.072
cat,8192,1,preflight.relay_fetch_r2,1693.357
cat,8192,1,preflight.total,2286.872
cat,8192,1,read.blob_decrypt_verify,0.177
cat,8192,1,read.blob_fetch,721.331
cat,8192,1,read.path_resolution,1772.792
remove,8192,1,auth.kdf_identity,177.733
remove,8192,1,commit.checkpoint_create_journal,2.395
remove,8192,1,commit.checkpoint_publish_w2,1641.823
remove,8192,1,commit.cloud_head_recheck,429.831
remove,8192,1,commit.dropbox_cas,865.262
remove,8192,1,commit.dropbox_readback,411.377
remove,8192,1,commit.local_finalize,4.044
remove,8192,1,preflight.checkpoint_evaluation,2.261
remove,8192,1,preflight.cloud_head_fetch,1566.646
remove,8192,1,preflight.outbox_replay,0.297
remove,8192,1,preflight.relay_fetch_r2,5825.478
remove,8192,1,write.cas_checkpoint_finalize,8545.847
remove,8192,1,write.head_journal,1.876
remove,8192,1,write.object_prepare_upload,5140.839
remove,8192,1,write.preflight,2218.862
add,8192,2,auth.kdf_identity,199.768
add,8192,2,commit.checkpoint_create_journal,2.093
add,8192,2,commit.checkpoint_publish_w2,1714.174
add,8192,2,commit.cloud_head_recheck,462.192
add,8192,2,commit.dropbox_cas,883.969
add,8192,2,commit.dropbox_readback,427.961
add,8192,2,commit.local_finalize,3.816
add,8192,2,preflight.checkpoint_evaluation,1.203
add,8192,2,preflight.cloud_head_fetch,1347.796
add,8192,2,preflight.outbox_replay,0.2
add,8192,2,preflight.relay_fetch_r2,5200.002
add,8192,2,write.cas_checkpoint_finalize,7781.036
add,8192,2,write.head_journal,1.024
add,8192,2,write.object_prepare_upload,3647.677
add,8192,2,write.preflight,2270.449
cat,8192,2,auth.kdf_identity,192.0
cat,8192,2,preflight.checkpoint_evaluation,0.382
cat,8192,2,preflight.cloud_head_fetch,555.992
cat,8192,2,preflight.outbox_replay,0.082
cat,8192,2,preflight.relay_fetch_r2,1811.591
cat,8192,2,preflight.total,2371.223
cat,8192,2,read.blob_decrypt_verify,0.09
cat,8192,2,read.blob_fetch,648.268
cat,8192,2,read.path_resolution,2801.743
remove,8192,2,auth.kdf_identity,180.51
remove,8192,2,commit.checkpoint_create_journal,3.239
remove,8192,2,commit.checkpoint_publish_w2,1754.371
remove,8192,2,commit.cloud_head_recheck,437.896
remove,8192,2,commit.dropbox_cas,900.227
remove,8192,2,commit.dropbox_readback,1427.744
remove,8192,2,commit.local_finalize,3.863
remove,8192,2,preflight.checkpoint_evaluation,1.354
remove,8192,2,preflight.cloud_head_fetch,1548.683
remove,8192,2,preflight.outbox_replay,0.165
remove,8192,2,preflight.relay_fetch_r2,5390.684
remove,8192,2,write.cas_checkpoint_finalize,8922.269
remove,8192,2,write.head_journal,1.064
remove,8192,2,write.object_prepare_upload,4126.039
remove,8192,2,write.preflight,2559.46
add,8192,3,auth.kdf_identity,184.756
add,8192,3,commit.checkpoint_create_journal,1.79
add,8192,3,commit.checkpoint_publish_w2,1719.585
add,8192,3,commit.cloud_head_recheck,380.755
add,8192,3,commit.dropbox_cas,849.203
add,8192,3,commit.dropbox_readback,378.667
add,8192,3,commit.local_finalize,4.805
add,8192,3,preflight.checkpoint_evaluation,1.799
add,8192,3,preflight.cloud_head_fetch,2629.872
add,8192,3,preflight.outbox_replay,0.271
add,8192,3,preflight.relay_fetch_r2,5275.061
add,8192,3,write.cas_checkpoint_finalize,8811.343
add,8192,3,write.head_journal,1.625
add,8192,3,write.object_prepare_upload,3318.281
add,8192,3,write.preflight,2444.156
cat,8192,3,auth.kdf_identity,193.579
cat,8192,3,preflight.checkpoint_evaluation,0.876
cat,8192,3,preflight.cloud_head_fetch,456.182
cat,8192,3,preflight.outbox_replay,0.076
cat,8192,3,preflight.relay_fetch_r2,2007.745
cat,8192,3,preflight.total,2469.901
cat,8192,3,read.blob_decrypt_verify,0.147
cat,8192,3,read.blob_fetch,609.177
cat,8192,3,read.path_resolution,1727.945
remove,8192,3,auth.kdf_identity,179.757
remove,8192,3,commit.checkpoint_create_journal,2.233
remove,8192,3,commit.checkpoint_publish_w2,1640.3
remove,8192,3,commit.cloud_head_recheck,361.94
remove,8192,3,commit.dropbox_cas,1020.3
remove,8192,3,commit.dropbox_readback,431.942
remove,8192,3,commit.local_finalize,3.068
remove,8192,3,preflight.checkpoint_evaluation,1.959
remove,8192,3,preflight.cloud_head_fetch,1332.058
remove,8192,3,preflight.outbox_replay,0.178
remove,8192,3,preflight.relay_fetch_r2,4768.787
remove,8192,3,write.cas_checkpoint_finalize,7639.773
remove,8192,3,write.head_journal,0.895
remove,8192,3,write.object_prepare_upload,5936.235
remove,8192,3,write.preflight,1937.694
add,8192,4,auth.kdf_identity,184.243
add,8192,4,commit.checkpoint_create_journal,2.136
add,8192,4,commit.checkpoint_publish_w2,1665.928
add,8192,4,commit.cloud_head_recheck,454.486
add,8192,4,commit.dropbox_cas,1135.178
add,8192,4,commit.dropbox_readback,392.279
add,8192,4,commit.local_finalize,3.033
add,8192,4,preflight.checkpoint_evaluation,1.565
add,8192,4,preflight.cloud_head_fetch,2457.06
add,8192,4,preflight.outbox_replay,0.262
add,8192,4,preflight.relay_fetch_r2,5128.605
add,8192,4,write.cas_checkpoint_finalize,7934.107
add,8192,4,write.head_journal,1.693
add,8192,4,write.object_prepare_upload,3459.142
add,8192,4,write.preflight,3320.635
cat,8192,4,auth.kdf_identity,178.422
cat,8192,4,preflight.checkpoint_evaluation,0.496
cat,8192,4,preflight.cloud_head_fetch,526.164
cat,8192,4,preflight.outbox_replay,0.069
cat,8192,4,preflight.relay_fetch_r2,2785.578
cat,8192,4,preflight.total,3316.477
cat,8192,4,read.blob_decrypt_verify,0.161
cat,8192,4,read.blob_fetch,1667.25
cat,8192,4,read.path_resolution,1793.378
remove,8192,4,auth.kdf_identity,189.339
remove,8192,4,commit.checkpoint_create_journal,1.959
remove,8192,4,commit.checkpoint_publish_w2,1632.799
remove,8192,4,commit.cloud_head_recheck,482.798
remove,8192,4,commit.dropbox_cas,907.54
remove,8192,4,commit.dropbox_readback,461.873
remove,8192,4,commit.local_finalize,4.623
remove,8192,4,preflight.checkpoint_evaluation,1.915
remove,8192,4,preflight.cloud_head_fetch,2347.982
remove,8192,4,preflight.outbox_replay,0.186
remove,8192,4,preflight.relay_fetch_r2,5771.436
remove,8192,4,write.cas_checkpoint_finalize,9322.331
remove,8192,4,write.head_journal,1.071
remove,8192,4,write.object_prepare_upload,4455.595
remove,8192,4,write.preflight,2305.179
