operation,size_bytes,iteration,phase,phase_ms
cat,10485760,2,preflight.cloud_head_fetch,588.25
cat,10485760,2,preflight.outbox_replay,0.076
cat,10485760,2,preflight.relay_fetch_r2,1707.248
cat,10485760,2,preflight.total,2302.037
cat,10485760,2,read.blob_decrypt_verify,83.626
cat,10485760,2,read.blob_fetch,3721.349
cat,10485760,2,read.path_resolution,2012.584
remove,10485760,2,auth.kdf_identity,183.618
remove,10485760,2,commit.checkpoint_create_journal,2.366
remove,10485760,2,commit.checkpoint_publish_w2,1827.436
remove,10485760,2,commit.cloud_head_recheck,517.247
remove,10485760,2,commit.dropbox_cas,1049.929
remove,10485760,2,commit.dropbox_readback,378.226
remove,10485760,2,commit.local_finalize,3.96
remove,10485760,2,preflight.checkpoint_evaluation,2.15
remove,10485760,2,preflight.cloud_head_fetch,1312.352
remove,10485760,2,preflight.outbox_replay,0.334
remove,10485760,2,preflight.relay_fetch_r2,5164.77
remove,10485760,2,write.cas_checkpoint_finalize,8137.298
remove,10485760,2,write.head_journal,1.609
remove,10485760,2,write.object_prepare_upload,4804.921
remove,10485760,2,write.preflight,2136.339
add,10485760,3,auth.kdf_identity,195.247
add,10485760,3,commit.checkpoint_create_journal,1.763
add,10485760,3,commit.checkpoint_publish_w2,1643.819
add,10485760,3,commit.cloud_head_recheck,357.194
add,10485760,3,commit.dropbox_cas,942.49
add,10485760,3,commit.dropbox_readback,440.551
add,10485760,3,commit.local_finalize,3.383
add,10485760,3,preflight.checkpoint_evaluation,2.083
add,10485760,3,preflight.cloud_head_fetch,1556.114
add,10485760,3,preflight.outbox_replay,0.265
add,10485760,3,preflight.relay_fetch_r2,5179.99
add,10485760,3,write.cas_checkpoint_finalize,7804.252
add,10485760,3,write.head_journal,1.649
add,10485760,3,write.object_prepare_upload,8170.678
add,10485760,3,write.preflight,2338.352
cat,10485760,3,auth.kdf_identity,186.072
cat,10485760,3,preflight.checkpoint_evaluation,0.512
cat,10485760,3,preflight.cloud_head_fetch,486.71
cat,10485760,3,preflight.outbox_replay,0.066
cat,10485760,3,preflight.relay_fetch_r2,1574.847
cat,10485760,3,preflight.total,2066.882
cat,10485760,3,read.blob_decrypt_verify,78.133
cat,10485760,3,read.blob_fetch,3480.081
cat,10485760,3,read.path_resolution,1948.403
remove,10485760,3,auth.kdf_identity,194.322
remove,10485760,3,commit.checkpoint_create_journal,1.255
remove,10485760,3,commit.checkpoint_publish_w2,1751.477
remove,10485760,3,commit.cloud_head_recheck,521.15
remove,10485760,3,commit.dropbox_cas,840.807
remove,10485760,3,commit.dropbox_readback,452.61
remove,10485760,3,commit.local_finalize,2.623
remove,10485760,3,preflight.checkpoint_evaluation,1.11
remove,10485760,3,preflight.cloud_head_fetch,1444.134
remove,10485760,3,preflight.outbox_replay,0.356
remove,10485760,3,preflight.relay_fetch_r2,5249.958
remove,10485760,3,write.cas_checkpoint_finalize,8177.89
remove,10485760,3,write.head_journal,1.914
remove,10485760,3,write.object_prepare_upload,6654.681
remove,10485760,3,write.preflight,2098.355
add,10485760,4,auth.kdf_identity,188.267
add,10485760,4,commit.checkpoint_create_journal,1.685
add,10485760,4,commit.checkpoint_publish_w2,1691.853
add,10485760,4,commit.cloud_head_recheck,537.06
add,10485760,4,commit.dropbox_cas,1031.814
add,10485760,4,commit.dropbox_readback,1456.556
add,10485760,4,commit.local_finalize,3.967
add,10485760,4,preflight.checkpoint_evaluation,1.749
add,10485760,4,preflight.cloud_head_fetch,1305.269
add,10485760,4,preflight.outbox_replay,0.292
add,10485760,4,preflight.relay_fetch_r2,5243.128
add,10485760,4,write.cas_checkpoint_finalize,9010.763
add,10485760,4,write.head_journal,1.763
add,10485760,4,write.object_prepare_upload,6407.469
add,10485760,4,write.preflight,2275.806
cat,10485760,4,auth.kdf_identity,185.022
cat,10485760,4,preflight.checkpoint_evaluation,0.723
cat,10485760,4,preflight.cloud_head_fetch,530.002
cat,10485760,4,preflight.outbox_replay,0.087
cat,10485760,4,preflight.relay_fetch_r2,1781.137
cat,10485760,4,preflight.total,2317.463
cat,10485760,4,read.blob_decrypt_verify,84.201
cat,10485760,4,read.blob_fetch,3380.989
cat,10485760,4,read.path_resolution,1733.33
remove,10485760,4,auth.kdf_identity,182.829
remove,10485760,4,commit.checkpoint_create_journal,1.51
remove,10485760,4,commit.checkpoint_publish_w2,1700.205
remove,10485760,4,commit.cloud_head_recheck,386.353
remove,10485760,4,commit.dropbox_cas,1070.858
remove,10485760,4,commit.dropbox_readback,503.685
remove,10485760,4,commit.local_finalize,2.07
remove,10485760,4,preflight.checkpoint_evaluation,1.317
remove,10485760,4,preflight.cloud_head_fetch,2304.255
remove,10485760,4,preflight.outbox_replay,0.235
remove,10485760,4,preflight.relay_fetch_r2,4961.969
remove,10485760,4,write.cas_checkpoint_finalize,8788.908
remove,10485760,4,write.head_journal,1.335
remove,10485760,4,write.object_prepare_upload,4490.164
remove,10485760,4,write.preflight,2156.985
add,10485760,5,auth.kdf_identity,186.446
add,10485760,5,commit.checkpoint_create_journal,1.63
add,10485760,5,commit.checkpoint_publish_w2,1678.017
add,10485760,5,commit.cloud_head_recheck,727.557
add,10485760,5,commit.dropbox_cas,890.548
add,10485760,5,commit.dropbox_readback,370.418
add,10485760,5,commit.local_finalize,3.291
add,10485760,5,preflight.checkpoint_evaluation,1.398
add,10485760,5,preflight.cloud_head_fetch,1415.456
add,10485760,5,preflight.outbox_replay,0.311
add,10485760,5,preflight.relay_fetch_r2,5194.752
add,10485760,5,write.cas_checkpoint_finalize,8192.104
add,10485760,5,write.head_journal,1.776
add,10485760,5,write.object_prepare_upload,5682.113
add,10485760,5,write.preflight,2102.803
cat,10485760,5,auth.kdf_identity,179.485
cat,10485760,5,preflight.checkpoint_evaluation,0.768
cat,10485760,5,preflight.cloud_head_fetch,471.349
cat,10485760,5,preflight.outbox_replay,0.083
cat,10485760,5,preflight.relay_fetch_r2,1717.51
cat,10485760,5,preflight.total,2193.37
cat,10485760,5,read.blob_decrypt_verify,72.325
cat,10485760,5,read.blob_fetch,4070.635
cat,10485760,5,read.path_resolution,1756.215
remove,10485760,5,auth.kdf_identity,188.538
remove,10485760,5,commit.checkpoint_create_journal,1.912
remove,10485760,5,commit.checkpoint_publish_w2,2029.921
remove,10485760,5,commit.cloud_head_recheck,381.371
remove,10485760,5,commit.dropbox_cas,1092.272
remove,10485760,5,commit.dropbox_readback,1369.929
remove,10485760,5,commit.local_finalize,3.318
remove,10485760,5,preflight.checkpoint_evaluation,2.253
remove,10485760,5,preflight.cloud_head_fetch,1441.698
remove,10485760,5,preflight.outbox_replay,0.306
remove,10485760,5,preflight.relay_fetch_r2,5214.04
remove,10485760,5,write.cas_checkpoint_finalize,9173.492
remove,10485760,5,write.head_journal,1.824
remove,10485760,5,write.object_prepare_upload,4667.033
remove,10485760,5,write.preflight,2377.78
