scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-20,cat,20,1,1,10033.994,10033.994,10033.994,10033.994,10033.994,10033.994
scale-20,deep-scan,20,1,1,30936.354,30936.354,30936.354,30936.354,30936.354,30936.354
scale-20,init,20,1,1,23104.712,23104.712,23104.712,23104.712,23104.712,23104.712
scale-20,list,20,1,1,6411.461,6411.461,6411.461,6411.461,6411.461,6411.461
scale-20,quick-scan,20,1,1,15562.486,15562.486,15562.486,15562.486,15562.486,15562.486
scale-20,status,20,1,1,5415.007,5415.007,5415.007,5415.007,5415.007,5415.007
scale-20,tree,20,1,1,12904.833,12904.833,12904.833,12904.833,12904.833,12904.833
