scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-10,cat,10,1,1,10539.849,10539.849,10539.849,10539.849,10539.849,10539.849
scale-10,deep-scan,10,1,1,19051.523,19051.523,19051.523,19051.523,19051.523,19051.523
scale-10,init,10,1,1,19119.167,19119.167,19119.167,19119.167,19119.167,19119.167
scale-10,list,10,1,1,6318.331,6318.331,6318.331,6318.331,6318.331,6318.331
scale-10,quick-scan,10,1,1,12286.148,12286.148,12286.148,12286.148,12286.148,12286.148
scale-10,status,10,1,1,4275.699,4275.699,4275.699,4275.699,4275.699,4275.699
scale-10,tree,10,1,1,10412.232,10412.232,10412.232,10412.232,10412.232,10412.232
