scenario,operation,dataset_files,file_size_bytes,sequence,total_ms,success,return_code,error_class
scale-10,init,10,8192,1,19119.167,1,0,
scale-10,status,10,8192,2,4275.699,1,0,
scale-10,list,10,8192,3,6318.331,1,0,
scale-10,tree,10,8192,4,10412.232,1,0,
scale-10,cat-sample-1,10,8192,5,10539.849,1,0,
scale-10,quick-scan,10,8192,6,12286.148,1,0,
scale-10,deep-scan,10,8192,7,19051.523,1,0,
cleanup,destroy,0,8192,8,1545.36,1,0,
