scenario,operation,dataset_files,file_size_bytes,sequence,total_ms,success,return_code,error_class
scale-10,init,10,8192,1,9956.51,0,1,dropbox_rate_limit
cleanup,destroy,0,8192,2,1441.253,1,0,
