scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-10,cat,10,1,1,9730.42,9730.42,9730.42,9730.42,9730.42,9730.42
scale-10,deep-scan,10,1,1,20790.401,20790.401,20790.401,20790.401,20790.401,20790.401
scale-10,init,10,1,1,17743.502,17743.502,17743.502,17743.502,17743.502,17743.502
scale-10,list,10,1,1,7025.24,7025.24,7025.24,7025.24,7025.24,7025.24
scale-10,quick-scan,10,1,1,12195.069,12195.069,12195.069,12195.069,12195.069,12195.069
scale-10,status,10,1,1,4199.575,4199.575,4199.575,4199.575,4199.575,4199.575
scale-10,tree,10,1,1,8621.972,8621.972,8621.972,8621.972,8621.972,8621.972
