experiment,case,requested_files,actual_directories,file_size_kib,dataset_bytes,retry_events,successful_commands,attempted_commands,init_ms,status_ms,list_ms,tree_ms,cat_ms,quick-scan_ms,deep-scan_ms
directory-count,dirs-low,20,4,8,163840,3,7,7,21677.532,4860.895,6168.833,11517.667,9732.924,14742.929,29089.809
directory-count,dirs-medium,20,7,8,163840,4,7,7,26818.021,4565.342,7327.606,11165.265,9458.557,15964.158,32664.72
directory-count,dirs-high,20,23,8,163840,0,7,7,40334.093,4294.639,6159.371,26680.642,11035.075,29119.507,45622.743
dataset-size,size-80kib,10,4,8,81920,1,7,7,18613.596,4590.008,7344.252,9542.164,9799.484,11242.197,19643.619
dataset-size,size-2.5mib,10,4,256,2621440,2,7,7,17743.502,4199.575,7025.24,8621.972,9730.42,12195.069,20790.401
dataset-size,size-40mib,10,4,4096,41943040,1,7,7,19350.465,5271.671,7003.71,9791.553,10591.533,10850.252,27013.008
