scenario,operation,dataset_files,file_size_bytes,sequence,total_ms,success,return_code,error_class
scale-20,init,20,8192,1,35820.682,1,0,
scale-20,status,20,8192,2,4561.871,1,0,
scale-20,list,20,8192,3,6197.048,1,0,
scale-20,tree,20,8192,4,24253.516,1,0,
scale-20,cat-sample-1,20,8192,5,10268.32,1,0,
scale-20,quick-scan,20,8192,6,29284.011,1,0,
scale-20,deep-scan,20,8192,7,43734.071,1,0,
cleanup,destroy,0,8192,8,1367.346,1,0,
