scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-20,cat,20,1,1,10268.32,10268.32,10268.32,10268.32,10268.32,10268.32
scale-20,deep-scan,20,1,1,43734.071,43734.071,43734.071,43734.071,43734.071,43734.071
scale-20,init,20,1,1,35820.682,35820.682,35820.682,35820.682,35820.682,35820.682
scale-20,list,20,1,1,6197.048,6197.048,6197.048,6197.048,6197.048,6197.048
scale-20,quick-scan,20,1,1,29284.011,29284.011,29284.011,29284.011,29284.011,29284.011
scale-20,status,20,1,1,4561.871,4561.871,4561.871,4561.871,4561.871,4561.871
scale-20,tree,20,1,1,24253.516,24253.516,24253.516,24253.516,24253.516,24253.516
