scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-2,cat,2,1,1,10023.4,10023.4,10023.4,10023.4,10023.4,10023.4
scale-2,deep-scan,2,1,1,11795.722,11795.722,11795.722,11795.722,11795.722,11795.722
scale-2,init,2,1,1,16296.0,16296.0,16296.0,16296.0,16296.0,16296.0
scale-2,list,2,1,1,7499.91,7499.91,7499.91,7499.91,7499.91,7499.91
scale-2,quick-scan,2,1,1,10212.762,10212.762,10212.762,10212.762,10212.762,10212.762
scale-2,status,2,1,1,4566.358,4566.358,4566.358,4566.358,4566.358,4566.358
scale-2,tree,2,1,1,9801.308,9801.308,9801.308,9801.308,9801.308,9801.308
