scenario,operation,dataset_files,n,successes,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
scale-20,cat,20,1,1,11035.075,11035.075,11035.075,11035.075,11035.075,11035.075
scale-20,deep-scan,20,1,1,45622.743,45622.743,45622.743,45622.743,45622.743,45622.743
scale-20,init,20,1,1,40334.093,40334.093,40334.093,40334.093,40334.093,40334.093
scale-20,list,20,1,1,6159.371,6159.371,6159.371,6159.371,6159.371,6159.371
scale-20,quick-scan,20,1,1,29119.507,29119.507,29119.507,29119.507,29119.507,29119.507
scale-20,status,20,1,1,4294.639,4294.639,4294.639,4294.639,4294.639,4294.639
scale-20,tree,20,1,1,26680.642,26680.642,26680.642,26680.642,26680.642,26680.642
